draw,date,ad_date,numbers,price,lottery_type
103000204,103/08/26,2014-08-26,"15,19,28,36,39",8000000,daily_cash
103000205,103/08/27,2014-08-27,"10,17,18,23,34",8000000,daily_cash
103000206,103/08/28,2014-08-28,"05,10,22,24,36",8000000,daily_cash
103000207,103/08/29,2014-08-29,"04,05,11,16,20",8000000,daily_cash
103000208,103/08/30,2014-08-30,"20,23,25,26,37",8000000,daily_cash
103000209,103/09/01,2014-09-01,"02,11,15,25,33",8000000,daily_cash
103000210,103/09/02,2014-09-02,"16,19,24,31,38",8000000,daily_cash
103000211,103/09/03,2014-09-03,"10,17,25,33,34",8000000,daily_cash
103000212,103/09/04,2014-09-04,"13,14,15,27,30",8000000,daily_cash
103000213,103/09/05,2014-09-05,"13,15,20,32,37",8000000,daily_cash
103000214,103/09/06,2014-09-06,"14,18,31,34,38",8000000,daily_cash
103000215,103/09/08,2014-09-08,"04,17,20,30,39",8000000,daily_cash
103000216,103/09/09,2014-09-09,"02,07,19,25,39",8000000,daily_cash
103000217,103/09/10,2014-09-10,"03,10,11,16,17",8000000,daily_cash
103000218,103/09/11,2014-09-11,"18,20,23,32,35",8000000,daily_cash
103000219,103/09/12,2014-09-12,"03,13,17,20,31",8000000,daily_cash
103000220,103/09/13,2014-09-13,"08,24,27,31,37",8000000,daily_cash
103000221,103/09/15,2014-09-15,"05,13,14,16,18",8000000,daily_cash
103000222,103/09/16,2014-09-16,"13,17,23,35,36",8000000,daily_cash
103000223,103/09/17,2014-09-17,"01,10,15,26,38",8000000,daily_cash
103000224,103/09/18,2014-09-18,"01,15,22,23,38",8000000,daily_cash
103000225,103/09/19,2014-09-19,"07,10,12,18,36",8000000,daily_cash
103000226,103/09/20,2014-09-20,"03,13,15,27,36",8000000,daily_cash
103000227,103/09/22,2014-09-22,"03,04,05,07,37",8000000,daily_cash
103000228,103/09/23,2014-09-23,"05,07,08,09,17",8000000,daily_cash
103000229,103/09/24,2014-09-24,"17,28,29,30,38",8000000,daily_cash
103000230,103/09/25,2014-09-25,"13,14,27,28,39",8000000,daily_cash
103000231,103/09/26,2014-09-26,"04,26,28,38,39",8000000,daily_cash
103000232,103/09/27,2014-09-27,"05,12,14,15,23",8000000,daily_cash
103000233,103/09/29,2014-09-29,"02,03,16,22,27",8000000,daily_cash
103000234,103/09/30,2014-09-30,"05,08,14,27,28",8000000,daily_cash
103000235,103/10/01,2014-10-01,"12,17,22,37,38",8000000,daily_cash
103000236,103/10/02,2014-10-02,"04,17,36,37,39",8000000,daily_cash
103000237,103/10/03,2014-10-03,"04,05,23,35,36",8000000,daily_cash
103000238,103/10/04,2014-10-04,"05,14,16,22,33",8000000,daily_cash
103000239,103/10/06,2014-10-06,"20,21,25,27,36",8000000,daily_cash
103000240,103/10/07,2014-10-07,"04,05,19,20,22",8000000,daily_cash
103000241,103/10/08,2014-10-08,"02,05,06,17,32",8000000,daily_cash
103000242,103/10/09,2014-10-09,"09,13,18,23,32",8000000,daily_cash
